Document,Topic_group
for sent tuesday re notification multiple unavailable working but still unable for receiving certificate error consultant date tuesday notification multiple unavailable hello everyone please be advised for restored however for those using mobile phones for joining conference calls dial number directly mobile phone for application followed by conference id we still experiencing issues with for devices being investigated we return with update more information becomes available thank you for your understanding apologies for any caused inconveniences kind regards ext hub sent notification multiple unavailable importance high hello everyone please be advised we still experiencing issues caused by expired certificates investigating problem with high priority currently impacted mostly available however part cannot access for available only for calls we return with update more information becomes available thank you for your understanding apologies for any caused inconveniences kind regards ext hub sent tuesday notification unavailable importance high hello everyone please be advised we currently experiencing issues with currently investigating problem with high priority certificates have expired causing outage you have noticed for was also but available again we return with update more information becomes available thank you for your understanding apologies for any caused inconveniences kind regards ext hub,Hardware
password reset pm re please hello please advised kind regards specialist ext hub pm re please hello please ask asap unable work call minutes thanks galaxy date please hello accepting please possible thanks regards,Access
error sent wednesday march error importance high dear receiving error when trying rearrange tasks for specifics boards could you please help with solution unable calls board thank you sincerely manager,HR Support
need a license wednesday november license hello assigned requires license please provide version kind regards senior developer re license hello please find version tools license key please kindly activate let worked also license has expired means license won perform upgrade other things license renewal placed pricing renewal price around license please let further assist further thanks analyst,Access
your mailbox is almost full quota your mailbox almost full hi could please get increase mailbox size deleted everything could but still have enough space thanks kind regards ext en sent october your mailbox almost full importance high your mailbox almost full mb mb current size maximum size please reduce your mailbox size delete any items you need your mailbox empty your deleted items folder,Storage
missing confluence confluence hello how happened but we seem be lost confluence was top hierarchy fusion space name thank you for your help kind regards manager,Access
password reset snow template password reset snow template hello can you please assist with checking password reset template every used today ticket but only summary was completed with password reset everything be completed manually categories if would be only template thanks analyst pl,Access
relocated place relocated hello today relocate tower please provide monitor thanks,Hardware
monitor where monitors wednesday monitor la si tester please refer section entities,Hardware
time cards cards good morning trying submit card enter annual leave last friday won let enter window pops up with task detail required please be looked into kindest regards receptionist,HR Support
wants to access resources requests,Storage
no audio thames meeting room with having use phone for audio,Hardware
access to project menu menu hello please matter pm hi checked today thing wonder help please pm hello pm pm menu per attached image thank best regards analyst,HR Support
do not show up sent wednesday show up hello receive any strange can send would you please check resolve problem regards,Administrative rights
disable test external user com november undeliverable investigate undeliverable has failed these groups test user problem occurred during please later problem continues diagnostic information administrators generating test user remote returned hop count exceeded possible loop return path ny eh arm ax wk el mr rn msg ref tower originating version banners checked by tower id mon id via transport mon ss dp owe msg ref tower originating version banners checked by tower id mon id via transport mon abo upon vt msg ref tower originating version banners checked by tower id mon id via transport mon si bb lh etc msg ref tower originating version banners checked by tower id mon id via transport mon pf eh by mn msg ref tower originating version banners checked by tower id mon id via transport mon ca sum axe st od se msg ref tower originating version banners checked by tower id mon id mon investigate undeliverable thread topic investigate undeliverable thread index date mon id accept language content language has attach transport hosted originating content type text plain mime version,Hardware
paper stuck printer on ground floor sent thursday problem with printer ground floor hi would like inform you there problem with colour printer ground floor stuck cannot be removed thanks manager en,Hardware
connect sent july connect hi trying connect outside constantly get message trying connect but also be informed trying if might have something with issue have but you might be able help thank you manager,Hardware
people can reach me at the below number sent tuesday october re for hello can reach below number logged using ext can you please advise thanks senior manager sent friday for hello please be advised you have assigned with extension if there anything we could assist with please hesitate contact best regards analyst ext hub registered under number whose registered old broad street kingdom,Hardware
please delete timecard from oracle friday february please delete timecard hello please delete timecard date thank head analysis,HR Support
floor printer issue sent tuesday floor printer issue there might be some issue with printer floor ready mode but when give job print something won print get message saying problem tester,Hardware
unable to access change management area service now sent monday access issue hello trying access change area she cannot log can you please have look her advise whether everything alright please raise ticket your side using generic caller hosting monitoring thank you best regards specialist sent access issue hello could you please let know environment server you experiencing issues you still having trouble or you have managed connect thanks kind regards sent thursday access issue hello please be advised above referenced ticket logged for below reported issue could you please advise environment you experiencing accessing issues thank you best regards sent thursday access issue importance high hi sd can you check whether locked out have tried access change area but cannot get manager fin building th floor street se,Hardware
action required approve project time entries for from to friday july pm action required approve entries hello received timecard think approve please sorry because down anymore thanks friday july action required approve entries task application take action links actions approve reject,Miscellaneous
access to team for accounts re accounts test test product has assigned hello please advised cloning finished yet thursday morning create robot provide credentials hello please help grand accounts thank please questions matter let best regards analyst,Access
new starter center wednesday november pm starter form date hi please fill enclosed thanks registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts,HR Support
new starter bucharest tuesday pm hello va date administration officer,HR Support
meeting issue sent tuesday meeting hi trying join call using for cannot join receive below message only one getting message please help these data for call join meeting meeting for for professional meetings communications app formerly known join by phone english kingdom denmark english states finland english states germany english kingdom english kingdom macedonia english kingdom english kingdom norway english states english kingdom english kingdom sweden english kingdom kingdom english kingdom states english states kingdom test only english kingdom test only english kingdom find number conference id forgot your dial pin help manager en,Hardware
add as a member for receiving re updated change owner members groups sorry added owner member which please again reason please investigate coming thank director,Miscellaneous
access request for thursday pm library requesting library links library manage setting library hod reports location bb view cd note site,Storage
create for pricing engine november create pricing engine dear please create called pricing dedicated itself part once his created he joins administer composition thanks head,Access
internal audit access cards usage not used over days friday pm cards usage hi find employees other which cards more than days help respect comments table name name comments comments ct comments intern key holder removed intern key holder removed active find out she did her card days intern key holder removed active find out she did her card days intern key holder removed intern key holder removed intern key holder removed cleaning find out she did her card days intern key holder removed cleaning find out she did her card days intern key holder removed intern key holder removed active find out he did his card days active find out he did his card days intern key holder removed intern key holder removed intern key holder removed intern key holder removed active child care marked accordingly card disabled until she returns intern key holder removed intern key holder removed intern active find out he did his card days contractor contractor find out she did her card days cleaning find out she did her card days intern intern key holder removed active find out she did her card days active find out he did his card days child care marked accordingly card disabled until she returns cleaning find out she did her card days intern key holder removed intern key holder removed owe intern key holder removed active find out she did her card days intern key holder removed intern key holder removed teacher find out he did his card days cleaning cleaning find out he did his card days intern key holder removed intern key holder removed active find out she did her card days intern active find out she did her card days active find out he did his card days key holder removed intern key holder removed intern key holder removed maternity marked accordingly card disabled until she returns intern key holder removed thanks,Access
secure area access to be granted tuesday secure area granted dear please secure area thank officer,HR Support
notification monthly windows updates deployments on infrastructure and production servers am pm time thursday december pm updates deployments infrastructure production pm dear please updates going install updates production test unavailable experience total downtime approximately minutes per please lists affected production patched test os available due host reboot os thank engineer,Hardware
new code for oracle tuesday pm code hi kindly ask create code named pre also please change name existing code pre pre thank floor blvd district,Internal Project
leaver service now tower thursday leaver form leave date location tower hello leaver form has filled by name leaving date location tower ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details planned comments work location floor needed tickets automatically logged best regards note mailbox receive messages,HR Support
new starter thursday starter form induction hi please assist completion attached rd testing graduates thanks officer,HR Support
unable to edit list of approvers snow for unable list approvers snow for change request id ca view transition into view please forward have following removed approvers list thanks kind regards,Miscellaneous
worker time schedule problems worker schedule problems hello we realized problems with work schedule work hours schedule was changed hours still waiting approval result with cards please raise ticket problem assign order could investigate thank you best regards applications analyst,HR Support
credentials issue sent friday november credentials hi question hopefully whenever try over always asked for credentials input these always asked for credentials again subsequently can never when have use mobile please could you advise format use have tried sorts en etc etc thanks manager,Administrative rights
oracle approval error sent tuesday re another try another fail can receive if or issue with sent monday hello trying approve holidays for weeks works for couple then stops working have only errors thrown for anything below you can one them can you send when should try again until then try anymore tired too consuming test lead testing discipline lead,Miscellaneous
notifications for next wednesday pm re next hello talked come back date concerning cr currently modifying by form communication today thank best regards infrastructure tuesday pm next hi please attached macedonia separate provide basically work done next weekend starting friday evening saturday evening macedonia regards engineer please consider environment print,Hardware
please provide booking rights for meeting rooms tuesday pm please provide booking rights meeting rooms hi tower floor please provide rights meeting room bookings thank officer,Hardware
interns leavers hired hardware status hi guys please que date tuesday care school school care ext,HR Support
issue with uploading file sent monday february issue with uploading file hello can you please advise why we can upload attached file error file found contract id cd best regards manager,Hardware
oracle expenses problem problem hello created expense item saw pre filled expense claim for someone head,HR Support
po wednesday december pm po hi purchased integral please log installed against machine works thank administrator phone,Purchase
maternity leaver form thursday march maternity leaver form hi please fill maternity leaver form thank great,HR Support
event notification sub door remote alarm original message sent thursday event notification data event sub door remote alarm source sub door details details details,Hardware
change of address name wednesday pm change name hi change name also add please help thank head,Miscellaneous
is not working sent march working importance high hi we unable make conference call meeting rooms for well can you please look into with high priority thank you regards senior tester,Hardware
change of line manager change hi make change profile available parental leave change head expense report approved asap thanks,Miscellaneous
reminder for leaver issues sent thursday november re reminder for leaver hi adding advise thank you administration officer sent thursday november reminder for leaver hello able submit leaver form for there mandatory section where role matched any option displayed there can submit leaving them unchecked attached screen think there should be additional option another or set section mandatory issue blocks submit request could you please help or should write request out regards sent thursday november reminder for leaver dear please submit leaver form for can be found requests,HR Support
emergency maintenance works networking assessment wednesday ca ne create la ii la la sector,Hardware
new starter testing for ad center testing testing,HR Support
reader install reader install hi install reader reader find easier compared acrobat regards tester,Administrative rights
block domains wednesday pm re attached delete after thanks forwarding content own malicious converted format please add these kind regards,Hardware
oracle fusion timecard error sent monday issue hello having issue with completing submitting since trying add off application throws error every try report or change periods have attached error message annual request comment added prior completing have also tried modifying comment but cannot save past could you please help kind regards applications engineer en,HR Support
update all users list wednesday november update users please log run script update users,Access
mail issue accessing mail com sent tuesday hello have some problems with profile cannot log make changes profile please check issue thank you kind regards tester,Hardware
oracle log sent wednesday february log have having issues with log since start programme where if log with get error failed sync with happening for months nobody able resolve was given details for use his until was resolved letting log currently have access can someone please escalate resolve something for have access please manager,Hardware
open connection for support thursday july pm hello please regular kind regards senior engineer registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability,Hardware
customer missing customer hi kindly ask you investigate issue face with below two codes where customer set but visible projects screen thank you,Miscellaneous
purchase request for it final owner id has been approved thursday july pm purchase final owner id has approved hello purchased requested by speak please log allocation thank administrator st,Purchase
new pas close close dear ask please close opportunity active more date possible thank officer,HR Support
add new member to admin telephony path tuesday pm add member telephony path dear please help out telephony path his extension requested him removed other clients paths please also him mean path path path ooh path please let other details needed thanks,Miscellaneous
extensible plug needed extensible plug hi hi kindly help extensible plug thanks,Hardware
java update wednesday pm update hi update thanks director,Miscellaneous
not able to open people calendar outlook sent monday able open calendar hi able open calendar other colleagues below error shown regards manager,Administrative rights
th floor printer jam sent wednesday th floor printer jam hi guys please can you raise ticket for take look printer th floor seems be jammed tried fix but still giving error message thanks leader en,HR Support
new project hi please provide sample template creating thank head analysis,Internal Project
cables for connecting devices to friday november pm cables connecting devices hi order connect devices available various meeting rooms order conferences require cables cable mini regular other cable micro regular other please help least redirect help regards analyst,Hardware
access hello require assigned computer falls range thank,HR Support
oracle time report problem july report problem hello had got save report regards senior developer,HR Support
corrective actions october pm corrective actions dear please assign review assets location make corrective actions name entity status type location comments root entity imported swap root entity imported swap root entity imported swap root entity imported template swap xx root entity imported swap xxx root entity imported swap root entity imported swap root entity imported swap root entity imported swap root entity imported swap root entity imported swap root entity imported swap root entity imported swap root entity imported swap root entity imported swap root entity imported swap root entity imported virtual swap root entity imported swap root entity imported controller swap root entity imported controller swap root entity imported swap root root entity imported swap image root entity imported swap root entity imported swap root entity imported swap root entity imported swap root entity imported swap root entity imported swap root entity imported swap win root entity imported swap root entity imported swap thanks senior consultant,Internal Project
notification pm hello dear please notify users about tomorrow form attached thank discipline lead,Hardware
for friday february pm re hi fine well too please note has proper level he approve contracts he also head problem his he has connected package hi please provide appropriate package he properly thank kind regards analyst hi fine please has appropriate registered head reasons he approve contracts thanks commercial adviser old broad street,Miscellaneous
and confluence access denied confluence access denied hi can you please help with access confluence right getting message regards,Access
change project manager tuesday february change hi change please working pm allocated code developer,Miscellaneous
mantis database backup wednesday july pm database backup hello currently process migration database information which migrated decommissioned please back database both link view link view thank kind regards engineer mobile,Hardware
